Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.CMC1Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.CMC1Abduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.MCP1Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.MCP1Abduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.DIPFlexion1,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.CMC2Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.CMC2Abduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.MCP2Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.MCP2Abduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.PIP2Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.DIP2Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.CMC3Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.CMC3Abduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.MCP3Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.MCP3Abduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.PIP3Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.DIP3Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.CMC4Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.CMC4Abduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.MCP4Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.MCP4Abduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.PIP4Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.DIP4Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.CMC5Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.CMC5Abduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.MCP5Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.MCP5Abduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.PIP5Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.DIP5Flexion
  6.000000000000000e-01,  9.305678040875854e-01, -4.316935258800211e-02, -4.885858803069455e-02,  4.150705942958399e-01,  2.607025267511589e-01, -3.850186176958861e-04, -4.151912499946116e-02,  3.912253642667743e-01,  2.713240235687122e-01,  7.317116150558336e-01,  2.087843872719155e-03, -1.082511611311960e-04,  9.447475809629745e-05,  1.959853989436572e-01,  1.837353184217065e-01,  3.460792030318268e-01,  2.087843872719155e-03, -4.563772647818639e-04,  6.516056963380225e-02,  2.837672440230020e-01,  1.196531111425967e-01,  1.374105152638675e-02, -2.592849832101307e-02,  4.048358102934854e-04, -2.858613582851871e-03,  4.122920906528056e-01, -2.264060440394466e-02,  7.917872394040035e-02,  4.300070827371432e-01
  6.100000000000000e-01,  9.293256183037489e-01, -4.353255275235369e-02, -4.879524259326321e-02,  4.116948093848275e-01,  2.565565770372314e-01, -3.886499599608375e-04, -4.182334491156984e-02,  3.820346716845489e-01,  2.676565598438550e-01,  7.260183884117856e-01,  3.683252628289371e-03, -1.102341557621799e-04,  9.485044321234016e-05,  1.871064608616699e-01,  1.811613941096070e-01,  3.450638353373727e-01,  3.683252628289371e-03, -4.583360072690572e-04,  6.599024993181711e-02,  2.853683500143036e-01,  1.200643970935017e-01,  1.566841420673269e-02, -2.470746735231685e-02,  4.083467027099255e-04, -1.208673526845582e-03,  4.135910928909561e-01, -2.800967417076427e-02,  7.644122753542515e-02,  4.267588280723271e-01
  6.200000000000000e-01,  9.255058696792546e-01, -4.722785103116831e-02, -4.789045407348637e-02,  4.043772568541065e-01,  2.516687658382263e-01, -3.993719626026404e-04, -4.343889763945370e-02,  3.762681369244257e-01,  2.602936852125892e-01,  7.205229487941114e-01,  5.098158449398208e-03, -1.163318452225734e-04,  9.383280729909801e-05,  1.805424764018392e-01,  1.757435126338505e-01,  3.462255612124347e-01,  5.098158449398208e-03, -4.643641222779346e-04,  6.882314000337887e-02,  2.909129098815759e-01,  1.155999455723655e-01,  1.690636332368207e-02, -2.421855763340024e-02,  4.178745090023579e-04,  4.933575742001116e-03,  4.192273801377888e-01, -3.929454540739202e-02,  7.391677929207918e-02,  4.246307967188798e-01
  6.300000000000000e-01,  9.202720160364591e-01, -5.315095522168708e-02, -4.647750795888072e-02,  3.949284888549672e-01,  2.469600045994473e-01, -4.144456694887014e-04, -4.586315708438710e-02,  3.731137694157092e-01,  2.510849694282558e-01,  7.155236811596464e-01,  6.194487401023954e-03, -1.251318497508208e-04,  9.228879696261722e-05,  1.758273687438736e-01,  1.688862962158418e-01,  3.489670487824606e-01,  6.194487401023954e-03, -4.729803291031352e-04,  7.299959866473896e-02,  2.987899625841675e-01,  1.078136785767303e-01,  1.748087227256152e-02, -2.431775634131479e-02,  4.313750202593850e-04,  1.392944909617625e-02,  4.275355256635801e-01, -5.389304387184864e-02,  7.181056298603876e-02,  4.230827538734085e-01
  6.400000000000000e-01,  9.148207419532437e-01, -5.994546950040450e-02, -4.486751630418290e-02,  3.851041324187169e-01,  2.430862635253649e-01, -4.309155757719468e-04, -4.855732909849606e-02,  3.714864715071490e-01,  2.417342392686427e-01,  7.112912015574148e-01,  6.916502074485838e-03, -1.350361086009070e-04,  9.082492083483190e-05,  1.722600217872994e-01,  1.618940853495637e-01,  3.525412115509837e-01,  6.916502074485838e-03, -4.825109510680351e-04,  7.771177088153937e-02,  3.072760239692137e-01,  9.857128266811796e-02,  1.752313318032953e-02, -2.479181622707911e-02,  4.464746703081422e-04,  2.390712386705871e-02,  4.367024791028187e-01, -6.907252366398138e-02,  7.023462059007066e-02,  4.216994769963768e-01
  6.500000000000000e-01,  9.100934449913205e-01, -6.641985051042443e-02, -4.328813277734072e-02,  3.761470151907363e-01,  2.402353185627258e-01, -4.463231906530860e-04, -5.108315451153146e-02,  3.704191620059376e-01,  2.333958215510188e-01,  7.079544758163214e-01,  7.305302754751069e-03, -1.445675150176987e-04,  8.963987692898402e-05,  1.691958061619019e-01,  1.556466213973030e-01,  3.562435948929671e-01,  7.305302754751069e-03, -4.914920670518284e-04,  8.222255896314022e-02,  3.150084779697160e-01,  8.946273854936598e-02,  1.722258424951548e-02, -2.542460919457046e-02,  4.609660356867993e-04,  3.329092872029890e-02,  4.452498522742745e-01, -8.275431733453403e-02,  6.917744776555870e-02,  4.203857877946853e-01
  6.599999999999999e-01,  9.066160471351384e-01, -7.173951605274329e-02, -4.189304106118447e-02,  3.686850148522997e-01,  2.383519730314200e-01, -4.591549715155268e-04, -5.316935896406173e-02,  3.691934771621388e-01,  2.266348622205792e-01,  7.054521117255429e-01,  7.466115252232176e-03, -1.526995736859468e-04,  8.857925556321997e-05,  1.661617663219297e-01,  1.505500218913125e-01,  3.595534510663654e-01,  7.466115252232176e-03, -4.989100394493722e-04,  8.599741428884213e-02,  3.211685583026198e-01,  8.151910128340599e-02,  1.677273782456691e-02, -2.604779308810392e-02,  4.732708501530675e-04,  4.105122732473377e-02,  4.522696371132775e-01, -9.378438504632219e-02,  6.851153758067681e-02,  4.192670733499380e-01
  6.699999999999999e-01,  9.045350115305025e-01, -7.549519280460114e-02, -4.077216352108601e-02,  3.628991329343811e-01,  2.372524931206773e-01, -4.687752323809430e-04, -5.469936697555731e-02,  3.673702050319640e-01,  2.215857991883358e-01,  7.035430565312996e-01,  7.520016199165379e-03, -1.589084312472890e-04,  8.743089193599561e-05,  1.628862241757969e-01,  1.466685095285429e-01,  3.621831487877999e-01,  7.520016199165379e-03, -5.042922685516042e-04,  8.876319427172588e-02,  3.254580891886306e-01,  7.517323382589867e-02,  1.634470568482876e-02, -2.655077656824058e-02,  4.825903159805423e-04,  4.673341353882599e-02,  4.573999018362845e-01, -1.018377399046785e-01,  6.806874759091755e-02,  4.184932289897732e-01
  6.799999999999999e-01,  9.037188147224744e-01, -7.765018726393308e-02, -3.997380507884533e-02,  3.587126863856602e-01,  2.367223651870622e-01, -4.751863199341699e-04, -5.567137480147798e-02,  3.647208850427935e-01,  2.181493077595655e-01,  7.018538499438141e-01,  7.573453995635885e-03, -1.630941250255661e-04,  8.611413158871407e-05,  1.592535893246885e-01,  1.438885782924431e-01,  3.640593467715679e-01,  7.573453995635885e-03, -5.076426619605045e-04,  9.048202978511258e-02,  3.279719844908067e-01,  7.038823707225009e-02,  1.608571212416919e-02, -2.686796906011332e-02,  4.888091848906370e-04,  5.033578928641776e-02,  4.606749853343542e-01, -1.071513194241524e-01,  6.770025749369710e-02,  4.181232889052088e-01
  6.899999999999999e-01,  9.038679426797772e-01, -7.843660976812694e-02, -3.954133220026957e-02,  3.559200611944272e-01,  2.365931646454960e-01, -4.787643016041109e-04, -5.615536904507833e-02,  3.611282746561325e-01,  2.161358807824167e-01,  6.999102336670608e-01,  7.709459297035622e-03, -1.654364029182761e-04,  8.471458889427903e-05,  1.552347665416638e-01,  1.420346653191852e-01,  3.652627067714398e-01,  7.709459297035622e-03, -5.092975453267844e-04,  9.128047834732260e-02,  3.290545752429422e-01,  6.682805261671025e-02,  1.612537450419664e-02, -2.696026463210764e-02,  4.922644219421510e-04,  5.214377382508727e-02,  4.623606853396874e-01, -1.102692245971795e-01,  6.729348723536031e-02,  4.181021111939538e-01
