Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristHand
  6.000000000000000e-01,  1.069591865599598e-03, -3.957906984333552e-01,  2.063557163664906e-01,  9.255042466991900e-02,  8.034621363630720e-01,  1.077573071875325e-01, -1.789372847591053e-01,  4.830182606377815e-01,  5.204056210401966e-01,  1.047197556609303e+00, -2.579559858432947e-04,  8.881784197001252e-16,  2.918343899871445e-10
  6.100000000000000e-01,  1.069591865600493e-03, -3.957906984333557e-01,  2.063557163664796e-01,  9.255042466991216e-02,  8.034621363630730e-01,  1.077573071875342e-01, -1.789372857317369e-01,  4.830182641818904e-01,  5.204056207917012e-01,  1.047197556609340e+00, -2.579559843462179e-04, -8.437694987151190e-15,  5.986197648688573e-10
  6.200000000000000e-01,  1.069591865597919e-03, -3.957906984333560e-01,  2.063557163664767e-01,  9.255042466991067e-02,  8.034621363630747e-01,  1.077573071875309e-01, -1.789372816194596e-01,  4.830182491986778e-01,  5.204056218423144e-01,  1.047197556609346e+00, -2.579559908697710e-04, -1.199040866595169e-14,  8.773041737519804e-10
  6.300000000000000e-01,  1.069591865610122e-03, -3.957906984333557e-01,  2.063557163665399e-01,  9.255042466994384e-02,  8.034621363630811e-01,  1.077573071875323e-01, -1.789372832289599e-01,  4.830182550621012e-01,  5.204056214310815e-01,  1.047197556609150e+00, -2.579559824546462e-04,  5.651035195342047e-14,  1.114251191314253e-09
  6.400000000000000e-01,  1.069591858558949e-03, -3.957906984340517e-01,  2.063557163628278e-01,  9.255042466493361e-02,  8.034621363662240e-01,  1.077573071951718e-01, -1.789372850482925e-01,  4.830182617011244e-01,  5.204056209780040e-01,  1.047197556610151e+00, -2.579559972583049e-04,  1.610933608731102e-13,  7.874887186787305e-09
  6.500000000000000e-01,  1.069591865609674e-03, -3.957906984333555e-01,  2.063557163665246e-01,  9.255042466993568e-02,  8.034621363630803e-01,  1.077573071875353e-01, -1.789372870864729e-01,  4.830182691173295e-01,  5.204056204455761e-01,  1.047197556609190e+00, -2.579559909157951e-04,  4.163336342344337e-14,  3.343351706597275e-09
  6.599999999999999e-01,  1.069591865607883e-03, -3.957906984333563e-01,  2.063557163665178e-01,  9.255042466992948e-02,  8.034621363630765e-01,  1.077573071875308e-01, -1.789372847160822e-01,  4.830182604811851e-01,  5.204056210511053e-01,  1.047197556609214e+00, -2.579559823463589e-04,  3.330669073875469e-14,  3.439602658250606e-09
  6.699999999999999e-01,  1.069591865603180e-03, -3.957906984333563e-01,  2.063557163665073e-01,  9.255042466992770e-02,  8.034621363630753e-01,  1.077573071875329e-01, -1.789372857591399e-01,  4.830182642813733e-01,  5.204056207846934e-01,  1.047197556609245e+00, -2.579559899084819e-04,  2.198241588757810e-14,  3.498482781250090e-09
  6.799999999999999e-01,  1.069591865604748e-03, -3.957906984333565e-01,  2.063557163664969e-01,  9.255042466991925e-02,  8.034621363630736e-01,  1.077573071875326e-01, -1.789372840846260e-01,  4.830182581803575e-01,  5.204056212125017e-01,  1.047197556609282e+00, -2.579559965393507e-04,  8.104628079763643e-15,  3.527543812609224e-09
  6.899999999999999e-01,  1.069591865600829e-03, -3.957906984333545e-01,  2.063557163664749e-01,  9.255042466990805e-02,  8.034621363630760e-01,  1.077573071875312e-01, -1.789372840737629e-01,  4.830182581412337e-01,  5.204056212152627e-01,  1.047197556609340e+00, -2.579559852142928e-04, -2.109423746787797e-15,  3.534330994536815e-09
