Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C2C1,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C1C0
  6.000000000000000e-01,  3.066745647468241e-01, -2.437915018947687e-01,  9.787619750026717e-02, -7.040607452982799e-01, -1.997194229486689e+00,  1.027245002133653e+00,  4.218851157830528e-15, -2.775559972256926e-16, -4.565637390406602e-03,  1.276767863318754e-14, -6.078525262321897e-14, -1.462907089173554e-02,  2.276020488398353e-14, -1.336745691722740e-13, -2.583329176264238e-02,  3.386375155732594e-14, -2.068464562337647e-13, -3.716908540196873e-02,  4.285871398819726e-14, -2.828564090283226e-13, -4.794700073660434e-02,  5.196589157345338e-14, -3.514082379424927e-13, -5.867472732805996e-02,  5.707528125646561e-14, -4.242059206615035e-13, -6.425392802547682e-02, -5.551193766781351e-16,  1.665358130034405e-16,  1.843933254003673e-02, -5.551193766781352e-16, -8.049230961832960e-16,  1.843933254003696e-02, -6.661432520137621e-16, -2.498037195051608e-16,  1.843933254003685e-02,  1.110238753356270e-16,  9.992148780206431e-16,  1.843933254003629e-02, -1.110238753356270e-15, -3.330716260068810e-16,  1.843933254003679e-02, -7.771671273493890e-16,  0.000000000000000e+00,  1.843933254003623e-02,  4.996003610813203e-16,  6.106226635438360e-16
  6.100000000000000e-01,  2.796290768845721e-01, -2.668141468922439e-01,  1.155067666486717e-01, -8.073777498588990e-01, -2.038883008889820e+00,  9.438851968110549e-01,  4.107828758940251e-15,  9.992015900124934e-16, -4.565637390406991e-03,  1.254563204826254e-14, -6.134036908553146e-14, -1.462907089173498e-02,  2.320430644269541e-14, -1.314540613787147e-13, -2.583329176264272e-02,  3.153214899108384e-14, -2.101218026958668e-13, -3.716908540196629e-02,  4.241458223702422e-14, -2.805802338035608e-13, -4.794700073660389e-02,  5.074447104501751e-14, -3.519079099768528e-13, -5.867472732805908e-02,  5.629799143390675e-14, -4.233175894357219e-13, -6.425392802547526e-02,  5.551193766781352e-16,  2.498037195051608e-16,  1.843933254003602e-02,  3.330716260068811e-16, -1.526578285864872e-15,  1.843933254003690e-02,  6.661432520137623e-16,  9.714589091867367e-16,  1.843933254003557e-02,  8.881910026850164e-16,  1.054726815688457e-15,  1.843933254003546e-02, -1.110238753356270e-16, -1.804137974203939e-15,  1.843933254003696e-02,  9.992148780206431e-16,  1.360042472861431e-15,  1.843933254003557e-02, -3.608224830031759e-16, -1.332267629550188e-15
  6.200000000000000e-01,  2.522825550971241e-01, -2.863581415879740e-01,  1.290245364360524e-01, -9.023402049141914e-01, -2.076383755984898e+00,  8.615451196862678e-01,  4.107828758940250e-15,  1.276757587238186e-15, -4.565637390407684e-03,  1.265665534072505e-14, -6.011911286844398e-14, -1.462907089173532e-02,  2.187200176655979e-14, -1.341186707309859e-13, -2.583329176264136e-02,  3.197626376560615e-14, -2.072905710082871e-13, -3.716908540196708e-02,  4.130425285909167e-14, -2.823845190427013e-13, -4.794700073660315e-02,  5.041135635544409e-14, -3.503533747588435e-13, -5.867472732805894e-02,  5.496549459523440e-14, -4.233731101373332e-13, -6.425392802547485e-02,  1.443310379363151e-15, -6.661432520137621e-16,  1.843933254003626e-02,  1.443310379363151e-15,  9.714589091867365e-16,  1.843933254003574e-02,  1.665358130034405e-15, -7.771671273493892e-16,  1.843933254003674e-02,  1.110238753356270e-15, -8.326790650172027e-17,  1.843933254003577e-02,  1.110238753356270e-15, -1.110238753356270e-16,  1.843933254003604e-02,  1.776382005370032e-15,  3.885835636746946e-16,  1.843933254003565e-02,  2.775557561562891e-16, -1.831867990631508e-15
  6.300000000000000e-01,  2.271825898256082e-01, -3.017599271787170e-01,  1.384324195181531e-01, -9.838520875837999e-01, -2.108102192754167e+00,  7.861189612641799e-01,  4.329873556720806e-15, -1.110223988902771e-16, -4.565637390407381e-03,  1.398893485027505e-14, -6.067422933075649e-14, -1.462907089173671e-02,  2.509173806722088e-14, -1.321757264116215e-13, -2.583329176264622e-02,  3.558469630859990e-14, -2.095666592277139e-13, -3.716908540197107e-02,  4.624521859089160e-14, -2.825233102149428e-13, -4.794700073661000e-02,  5.646293988269454e-14, -3.514915166148861e-13, -5.867472732806608e-02,  6.123933387731671e-14, -4.262324262703177e-13, -6.425392802548251e-02, -4.774026639431962e-15, -3.885835636746945e-16,  1.843933254003879e-02, -4.218907262753827e-15,  3.608275948407878e-16,  1.843933254003874e-02, -4.274419200421641e-15,  1.110238753356270e-16,  1.843933254003885e-02, -4.607490826428521e-15, -5.828753455120419e-16,  1.843933254003904e-02, -4.496466951092895e-15, -2.498037195051608e-16,  1.843933254003887e-02, -4.107883387418200e-15, -1.665358130034405e-16,  1.843933254003912e-02,  2.164934898019055e-15,  6.550315845288424e-15
  6.400000000000000e-01,  2.059116483810244e-01, -3.132876538614096e-01,  1.443887545211650e-01, -1.049817527531403e+00, -2.133322727242613e+00,  7.213431187993423e-01,  3.497205565043726e-15, -6.661343933416622e-16, -4.565637390407462e-03,  1.332279509550005e-14, -6.100729920814398e-14, -1.462907089173640e-02,  2.370392069624627e-14, -1.326753406651723e-13, -2.583329176264514e-02,  3.458543806592470e-14, -2.076791714359941e-13, -3.716908540197148e-02,  4.413559277281972e-14, -2.831062331383575e-13, -4.794700073660864e-02,  5.413113705568060e-14, -3.507142490058814e-13, -5.867472732806549e-02,  5.890746440964010e-14, -4.255939382017872e-13, -6.425392802548217e-02, -2.109453631376913e-15, -3.885835636746945e-16,  1.843933254003882e-02, -2.664573008055049e-15, -6.383872831798554e-16,  1.843933254003926e-02, -1.887405880705659e-15, -8.326790650172027e-17,  1.843933254003860e-02, -1.665358130034405e-15,  1.054726815688457e-15,  1.843933254003832e-02, -2.442525257383795e-15, -1.387798441695338e-15,  1.843933254003904e-02, -2.220477506712541e-15,  5.551193766781352e-16,  1.843933254003854e-02,  2.192690473634684e-15,  6.522560269672795e-15
  6.500000000000000e-01,  1.890237518907108e-01, -3.216583193916029e-01,  1.477213816051167e-01, -1.100445507304800e+00, -2.151963849363742e+00,  6.686954143724140e-01,  4.107828758940250e-15, -3.330671966708311e-16, -4.565637390406574e-03,  1.271216698695630e-14, -6.111832250060648e-14, -1.462907089173648e-02,  2.337084452721236e-14, -1.328418787496893e-13, -2.583329176264428e-02,  3.353066547643423e-14, -2.077902001296247e-13, -3.716908540197101e-02,  4.252561517481749e-14, -2.845774195641180e-13, -4.794700073660801e-02,  5.318731210188925e-14, -3.502145769715213e-13, -5.867472732806504e-02,  5.774152967580180e-14, -4.241226396090865e-13, -6.425392802548170e-02, -3.885835636746945e-16,  1.082482784522363e-15,  1.843933254003843e-02, -1.221262628691897e-15, -8.326790650172027e-16,  1.843933254003812e-02, -7.771671273493892e-16,  3.885835636746946e-16,  1.843933254003851e-02, -5.551193766781352e-16,  8.326790650172027e-16,  1.843933254003782e-02, -8.881910026850162e-16, -4.163395325086014e-16,  1.843933254003879e-02, -1.720870067702219e-15, -9.992148780206433e-16,  1.843933254003879e-02,  1.387778780781446e-15,  5.162537064506979e-15
  6.599999999999999e-01,  1.763354012226456e-01, -3.276572678205687e-01,  1.491662975691840e-01, -1.137342848651199e+00, -2.164362154825635e+00,  6.279715339872264e-01,  3.996806360049972e-15, -7.771567922319390e-16, -4.565637390406657e-03,  1.348933003419380e-14, -5.934194982120647e-14, -1.462907089173698e-02,  2.270469218914456e-14, -1.339521326464690e-13, -2.583329176264378e-02,  3.325309374235779e-14, -2.078457144764400e-13, -3.716908540197052e-02,  4.258113164371412e-14, -2.821069366982181e-13, -4.794700073660689e-02,  5.213244891824009e-14, -3.518246313044595e-13, -5.867472732806416e-02,  5.740840546613370e-14, -4.237895153994184e-13, -6.425392802548092e-02, -3.330716260068810e-16, -8.326790650172025e-17,  1.843933254003809e-02, -5.551193766781351e-16,  1.942917818373472e-16,  1.843933254003834e-02, -3.330716260068811e-16, -6.383872831798554e-16,  1.843933254003832e-02, -2.775596883390676e-16,  5.273634078442284e-16,  1.843933254003790e-02, -1.221262628691897e-15, -1.165750691024084e-15,  1.843933254003846e-02, -1.665358130034405e-16,  8.326790650172027e-16,  1.843933254003790e-02,  8.604228440844963e-16,  4.413136522884997e-15
  6.699999999999999e-01,  1.673040720602582e-01, -3.319352675468015e-01,  1.492922693688316e-01, -1.162666841571230e+00, -2.171146106033603e+00,  5.980506819161191e-01,  3.830272761714558e-15, -9.159347908447856e-16, -4.565637390406519e-03,  1.310074851057505e-14, -5.931419399809085e-14, -1.462907089173673e-02,  2.214956524075471e-14, -1.334525183929181e-13, -2.583329176264355e-02,  3.280897896783548e-14, -2.084563722914081e-13, -3.716908540196957e-02,  4.269216458150738e-14, -2.825788266838395e-13, -4.794700073660650e-02,  5.085550927487532e-14, -3.509363254655970e-13, -5.867472732806227e-02,  5.713080195807696e-14, -4.237062343470013e-13, -6.425392802547959e-02,  9.437029403528297e-16,  1.665358130034405e-15,  1.843933254003718e-02, -4.996074390103216e-16, -1.720870067702219e-15,  1.843933254003785e-02, -2.220477506712541e-16, -1.665358130034405e-16,  1.843933254003804e-02, -5.551193766781353e-17, -3.053156571729744e-16,  1.843933254003763e-02,  1.665358130034406e-16, -3.053156571729744e-16,  1.843933254003752e-02,  3.885835636746946e-16,  8.049230961832960e-16,  1.843933254003707e-02,  8.881784197001250e-16,  2.470246229790973e-15
  6.799999999999999e-01,  1.612893189116848e-01, -3.349619001018802e-01,  1.485258722529388e-01, -1.178615833771152e+00, -2.173151068273462e+00,  5.774575359931599e-01,  3.275160767263173e-15, -1.054712789457632e-15, -4.565637390406464e-03,  1.354484168042505e-14, -5.923092652874397e-14, -1.462907089173643e-02,  2.159443829236487e-14, -1.343129651629224e-13, -2.583329176264280e-02,  3.208729245923673e-14, -2.084563722914081e-13, -3.716908540196801e-02,  4.147080226578154e-14, -2.829952002005641e-13, -4.794700073660497e-02,  5.157725776895104e-14, -3.494373093625165e-13, -5.867472732806210e-02,  5.657559494196349e-14, -4.224847789115517e-13, -6.425392802547791e-02,  5.551193766781352e-17, -1.609846192366592e-15,  1.843933254003779e-02,  9.992148780206431e-16,  1.165750691024084e-15,  1.843933254003646e-02,  2.775596883390676e-16, -1.443310379363151e-15,  1.843933254003779e-02,  4.440955013425080e-16,  3.885835636746945e-16,  1.843933254003701e-02,  6.106313143459486e-16,  6.383872831798553e-16,  1.843933254003693e-02,  1.665358130034405e-15,  6.106313143459487e-16,  1.843933254003657e-02,  2.775557561562892e-16,  1.526556658859590e-15
  6.899999999999999e-01,  1.576678096135314e-01, -3.370584024945235e-01,  1.471967174709834e-01, -1.187244800500940e+00, -2.171316090369129e+00,  5.646520963335836e-01,  2.831071171702064e-15, -1.443291185573601e-15, -4.565637390406463e-03,  1.193500393971879e-14, -5.978604299105648e-14, -1.462907089173532e-02,  1.892982894009363e-14, -1.339243762990495e-13, -2.583329176264150e-02,  2.986671858662519e-14, -2.067076703667266e-13, -3.716908540196802e-02,  3.714051769184453e-14, -2.818571125881834e-13, -4.794700073660327e-02,  4.558119335662950e-14, -3.509918445805258e-13, -5.867472732805937e-02,  5.046831776471522e-14, -4.226235806655801e-13, -6.425392802547508e-02,  5.495681829113539e-15,  3.608275948407879e-16,  1.843933254003594e-02,  5.717729579784793e-15, -1.054726815688457e-15,  1.843933254003659e-02,  6.328360894130741e-15,  6.106313143459487e-16,  1.843933254003593e-02,  5.495681829113538e-15,  2.220477506712541e-16,  1.843933254003624e-02,  6.161825081127300e-15,  9.714589091867365e-16,  1.843933254003596e-02,  6.161825081127301e-15, -9.714589091867367e-16,  1.843933254003630e-02, -5.273559366969494e-16, -1.970645868709653e-15
